id;image_book;image_book_content_type;image_libelle;image_code
1;../fake-data/blob/hipster.png;image/png;Cambridgeshire c;70293
2;../fake-data/blob/hipster.png;image/png;transmitter back-end utilisation;22019
3;../fake-data/blob/hipster.png;image/png;AI Superviseur flexibility;49296
4;../fake-data/blob/hipster.png;image/png;Outdoors quantify fuchsia;41163
5;../fake-data/blob/hipster.png;image/png;Wooden Saint-Denis HDD;56464
6;../fake-data/blob/hipster.png;image/png;Clothing;62389
7;../fake-data/blob/hipster.png;image/png;de hack;97685
8;../fake-data/blob/hipster.png;image/png;b XSS intangible;39591
9;../fake-data/blob/hipster.png;image/png;c;23000
10;../fake-data/blob/hipster.png;image/png;d'Azur groupware optical;51937
